epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2683.79,1.00162,1.0611,1.38593,0.54556,0.58796,0.57701,0.35225,1.59827,2.20075,2.11168,0.0007294,0.0007294,0.0007294
43,2749.59,1.11,1.1351,1.39598,0.66777,0.51933,0.57772,0.37246,1.60724,2.07463,2.08898,0.0007228,0.0007228,0.0007228
44,2821.62,1.07079,1.14716,1.46056,0.65658,0.59776,0.55337,0.34952,1.71836,2.04994,2.16852,0.0007162,0.0007162,0.0007162
45,2888.62,1.12087,1.11641,1.42651,0.65658,0.59776,0.55337,0.34952,1.71836,2.04994,2.16852,0.0007096,0.0007096,0.0007096
46,2954.14,1.01464,1.1476,1.41922,0.68614,0.52264,0.58424,0.37058,1.68212,1.79603,2.09071,0.000703,0.000703,0.000703
47,3023.17,0.96018,1.0684,1.34445,0.65687,0.63445,0.65253,0.42137,1.60603,1.53111,1.98769,0.0006964,0.0006964,0.0006964
48,3094.8,0.97136,1.01202,1.27432,0.65687,0.63445,0.65253,0.42137,1.60603,1.53111,1.98769,0.0006898,0.0006898,0.0006898
49,3161.92,0.98691,0.97306,1.30913,0.68093,0.5912,0.64292,0.42798,1.49554,1.59666,1.91073,0.0006832,0.0006832,0.0006832
50,3226.18,1.0131,1.12808,1.42506,0.68093,0.5912,0.64292,0.42798,1.49554,1.59666,1.91073,0.0006766,0.0006766,0.0006766
51,3294.86,1.00927,1.0944,1.35849,0.51819,0.63582,0.57862,0.39822,1.33495,1.98154,1.7797,0.00067,0.00067,0.00067
52,3363.03,0.87815,0.89597,1.27314,0.55135,0.6091,0.55554,0.36832,1.39898,2.23072,1.89981,0.0006634,0.0006634,0.0006634
53,3429.03,0.89297,0.92253,1.25732,0.55135,0.6091,0.55554,0.36832,1.39898,2.23072,1.89981,0.0006568,0.0006568,0.0006568
54,3497.11,0.94888,0.94877,1.29296,0.51119,0.62733,0.59025,0.38204,1.45228,2.0777,1.95282,0.0006502,0.0006502,0.0006502
55,3566.88,0.98626,1.06088,1.36211,0.54925,0.62185,0.59957,0.38011,1.50744,1.92316,1.98113,0.0006436,0.0006436,0.0006436
56,3633.87,0.84027,0.84829,1.21101,0.54925,0.62185,0.59957,0.38011,1.50744,1.92316,1.98113,0.000637,0.000637,0.000637
57,3702.59,1.05133,0.99575,1.39156,0.58588,0.62633,0.60705,0.39772,1.47912,1.85473,1.92547,0.0006304,0.0006304,0.0006304
58,3771.17,0.97229,0.89102,1.2892,0.58588,0.62633,0.60705,0.39772,1.47912,1.85473,1.92547,0.0006238,0.0006238,0.0006238
59,3837.44,1.07639,0.96331,1.47718,0.6986,0.60567,0.6245,0.42206,1.47054,1.7309,1.92279,0.0006172,0.0006172,0.0006172
60,3903.97,0.92385,0.99293,1.36187,0.75192,0.6197,0.68584,0.43131,1.5351,1.60392,2.02706,0.0006106,0.0006106,0.0006106
61,3972.14,0.95095,0.90509,1.28701,0.75192,0.6197,0.68584,0.43131,1.5351,1.60392,2.02706,0.000604,0.000604,0.000604
62,4040.09,1.05792,1.04447,1.42133,0.66615,0.71289,0.72113,0.44208,1.59253,1.57559,2.11185,0.0005974,0.0005974,0.0005974
63,4106.24,1.01634,1.13634,1.41008,0.6288,0.68347,0.71736,0.41836,1.68443,1.63663,2.19975,0.0005908,0.0005908,0.0005908
64,4171.36,1.11147,1.00628,1.4269,0.6288,0.68347,0.71736,0.41836,1.68443,1.63663,2.19975,0.0005842,0.0005842,0.0005842
65,4240.66,0.99428,0.98839,1.33649,0.56599,0.70038,0.61659,0.37242,1.71627,1.80246,2.21731,0.0005776,0.0005776,0.0005776
66,4306.77,1.061,1.05848,1.43147,0.56599,0.70038,0.61659,0.37242,1.71627,1.80246,2.21731,0.000571,0.000571,0.000571
67,4374.86,0.97319,1.14235,1.32218,0.56644,0.6521,0.59439,0.33329,1.69006,1.96016,2.1725,0.0005644,0.0005644,0.0005644
68,4439.72,1.04889,1.07805,1.39034,0.59834,0.62269,0.60645,0.36016,1.61539,2.07036,2.07871,0.0005578,0.0005578,0.0005578
69,4507.21,0.98852,0.98114,1.34603,0.59834,0.62269,0.60645,0.36016,1.61539,2.07036,2.07871,0.0005512,0.0005512,0.0005512
70,4573.07,1.01226,1.02729,1.4037,0.57705,0.70509,0.67281,0.41927,1.52431,1.8551,1.98051,0.0005446,0.0005446,0.0005446
